trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
61,False,"{'a': 0.5, 'e': 0.6949999999999997}",20,0,-75.49908001820806,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",1
62,False,"{'a': 0.5, 'e': 0.6899999999999997}",25,0,-58.815426574904805,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.6849999999999997}",25,0,-39.815702385671074,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.6799999999999997}",30,9,-119.90503537944527,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 2}",1
65,False,"{'a': 0.5, 'e': 0.6749999999999997}",20,4,-93.6162906540358,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 2}",1
66,False,"{'a': 0.5, 'e': 0.6699999999999997}",30,16,-80.45176431486372,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 2}",1
67,False,"{'a': 0.5, 'e': 0.6649999999999997}",25,1,-50.53584119290227,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.6599999999999997}",25,0,-43.70469856674503,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.6549999999999997}",30,16,-28.704904783065448,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
70,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,8,-6.991515101371574,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.6449999999999997}",30,7,3.2988830351077603,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.6399999999999997}",25,0,-39.19056322264896,"{0: 20, 1: 2, 2: 0, 3: 3, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.6349999999999997}",25,18,1.450560554836867,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.6299999999999997}",25,0,-116.39892319614404,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
75,False,"{'a': 0.5, 'e': 0.6249999999999997}",30,0,-132.7782449317725,"{0: 21, 1: 4, 2: 2, 3: 0, 4: 3}",0
76,False,"{'a': 0.5, 'e': 0.6199999999999997}",20,0,-65.96015534370767,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.6149999999999997}",25,0,-55.78254933131571,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.6099999999999997}",20,0,-157.38323023201778,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 4}",0
79,False,"{'a': 0.5, 'e': 0.6049999999999996}",25,0,-42.18382600205084,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-78.7270918183384,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.5949999999999996}",25,18,14.626414829062373,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.5899999999999996}",20,0,-72.91302293902305,"{0: 13, 1: 2, 2: 2, 3: 3, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.5849999999999996}",20,0,-56.42788471074419,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.5799999999999996}",30,16,-42.72482185892541,"{0: 10, 1: 0, 2: 2, 3: 2, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.5749999999999996}",25,11,-1.632249743416022,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.5699999999999996}",25,9,-94.16195402199712,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 2}",1
87,False,"{'a': 0.5, 'e': 0.5649999999999996}",20,0,-52.53153937350939,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.5599999999999996}",25,0,-48.211383417180336,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.5549999999999996}",30,10,-53.68955945418551,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",1
90,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-25.715624074873396,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.5449999999999996}",30,4,-167.61318702597205,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 4}",1
92,False,"{'a': 0.5, 'e': 0.5399999999999996}",20,0,-179.33986127129606,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 4}",0
93,False,"{'a': 0.5, 'e': 0.5349999999999996}",20,0,-9.03644977730867,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.5299999999999996}",30,6,-63.981661187798416,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.5249999999999996}",25,0,-77.89589124985508,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
96,False,"{'a': 0.5, 'e': 0.5199999999999996}",25,18,11.22281942364107,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.5149999999999996}",30,0,-32.25055786749564,"{0: 25, 1: 3, 2: 1, 3: 0, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.5099999999999996}",25,16,17.629081995096584,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.5049999999999996}",25,0,-81.70111231602985,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
100,False,"{'a': 0.5, 'e': 0.49999999999999956}",35,17,-45.41366294229161,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
101,False,"{'a': 0.5, 'e': 0.49499999999999955}",20,6,-40.742992999940306,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
102,False,"{'a': 0.5, 'e': 0.48999999999999955}",25,0,-7.225343247484004,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.48499999999999954}",25,17,-34.04242280938512,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
104,False,"{'a': 0.5, 'e': 0.47999999999999954}",30,18,5.197738797920856,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.47499999999999953}",30,20,-5.127045063230723,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.46999999999999953}",20,4,10.365748443515892,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.4649999999999995}",25,0,-0.05944129076461202,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
108,False,"{'a': 0.5, 'e': 0.4599999999999995}",20,12,-8.63010297511456,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.4549999999999995}",20,0,-89.92920038873022,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
110,False,"{'a': 0.5, 'e': 0.4499999999999995}",25,5,-27.458907717710492,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
111,False,"{'a': 0.5, 'e': 0.4449999999999995}",20,0,-38.454522740382075,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
112,False,"{'a': 0.5, 'e': 0.4399999999999995}",25,17,-39.80263758561723,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
113,False,"{'a': 0.5, 'e': 0.4349999999999995}",30,0,-31.122020394613806,"{0: 26, 1: 2, 2: 0, 3: 1, 4: 1}",0
114,False,"{'a': 0.5, 'e': 0.4299999999999995}",25,0,-7.354530382718826,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
115,False,"{'a': 0.5, 'e': 0.4249999999999995}",25,12,1.0322984409983458,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.4199999999999995}",25,9,-0.44359475572628115,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.4149999999999995}",25,11,11.051163414732484,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.4099999999999995}",20,11,8.272111147285415,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.40499999999999947}",30,1,-43.090540462228496,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.39999999999999947}",20,9,-36.31811440493022,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
121,False,"{'a': 0.5, 'e': 0.39499999999999946}",30,0,-77.74913191051171,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",0
122,False,"{'a': 0.5, 'e': 0.38999999999999946}",30,0,-65.24057280203786,"{0: 23, 1: 3, 2: 2, 3: 1, 4: 1}",0
123,False,"{'a': 0.5, 'e': 0.38499999999999945}",25,0,-115.03610756405688,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
124,False,"{'a': 0.5, 'e': 0.37999999999999945}",25,14,-45.77283714680439,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 1}",1
125,False,"{'a': 0.5, 'e': 0.37499999999999944}",20,10,15.441977935120521,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.36999999999999944}",25,18,13.445906640965429,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.36499999999999944}",20,0,-49.6141043841348,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
128,False,"{'a': 0.5, 'e': 0.35999999999999943}",25,16,-1.6380784953604435,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.3549999999999994}",20,0,-35.84916280674877,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
130,False,"{'a': 0.5, 'e': 0.3499999999999994}",25,0,-70.63579377307376,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
131,False,"{'a': 0.5, 'e': 0.3449999999999994}",25,0,-4.332149652053132,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
132,False,"{'a': 0.5, 'e': 0.3399999999999994}",25,16,6.699054687218363,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.3349999999999994}",20,0,-77.61803043663224,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
134,False,"{'a': 0.5, 'e': 0.3299999999999994}",20,0,-55.32848324378991,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
135,False,"{'a': 0.5, 'e': 0.3249999999999994}",20,8,-61.781829210664384,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 1}",1
136,False,"{'a': 0.5, 'e': 0.3199999999999994}",20,9,15.005685887471842,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.3149999999999994}",25,7,-88.32983576273787,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 2}",1
138,False,"{'a': 0.5, 'e': 0.3099999999999994}",20,0,-63.92294323284216,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
139,False,"{'a': 0.5, 'e': 0.3049999999999994}",25,5,-1.788431271221531,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.2999999999999994}",20,13,14.093120432177969,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.2949999999999994}",25,5,-9.27653218424831,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.28999999999999937}",20,10,20.54954754872073,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.28499999999999936}",30,0,-70.76061794142913,"{0: 26, 1: 1, 2: 0, 3: 1, 4: 2}",0
144,False,"{'a': 0.5, 'e': 0.27999999999999936}",20,0,-12.010725785025928,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
145,False,"{'a': 0.5, 'e': 0.27499999999999936}",20,15,-2.5582390740319085,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.26999999999999935}",20,10,12.316485253734864,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.26499999999999935}",35,11,25.319154060796677,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.25999999999999934}",35,17,11.751028538020044,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.25499999999999934}",20,1,-33.66630815469814,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
150,False,"{'a': 0.5, 'e': 0.24999999999999933}",20,12,3.701317431241206,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.24499999999999933}",35,8,26.75112800104681,"{0: 25, 1: 1, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.23999999999999932}",20,8,18.75341299611589,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.23499999999999932}",25,8,12.571218734317434,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.22999999999999932}",25,12,25.25299838589428,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.2249999999999993}",30,5,-16.734120903898056,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",1
156,False,"{'a': 0.5, 'e': 0.2199999999999993}",25,11,-17.803273686334844,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
157,False,"{'a': 0.5, 'e': 0.2149999999999993}",25,15,11.254676583574518,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.2099999999999993}",30,0,-17.6364733928718,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
159,False,"{'a': 0.5, 'e': 0.2049999999999993}",25,15,15.781195108905084,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.1999999999999993}",30,16,-8.749771774482408,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.19499999999999929}",20,2,8.322586158319151,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.18999999999999928}",25,1,0.268397335066888,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.18499999999999928}",30,4,15.411935627184208,"{0: 24, 1: 1, 2: 0, 3: 1, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.17999999999999927}",20,8,10.928210930926737,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.17499999999999927}",25,0,6.621176730813566,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
166,False,"{'a': 0.5, 'e': 0.16999999999999926}",30,6,26.094907159333708,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.16499999999999926}",25,20,9.896833296232249,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.15999999999999925}",25,7,22.12584995510299,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.15499999999999925}",20,0,-50.87361852827994,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
170,False,"{'a': 0.5, 'e': 0.14999999999999925}",25,11,27.884305623454296,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.14499999999999924}",30,12,-11.315661411838171,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
172,False,"{'a': 0.5, 'e': 0.13999999999999924}",30,7,27.84951086027998,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.13499999999999923}",25,2,-27.76836975756546,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.12999999999999923}",20,0,-34.3601550441552,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
175,False,"{'a': 0.5, 'e': 0.12499999999999922}",20,8,16.627664574488772,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.11999999999999922}",20,11,6.562301598615094,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.11499999999999921}",20,9,9.444138438279078,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.10999999999999921}",25,11,-31.154731889913954,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
179,False,"{'a': 0.5, 'e': 0.1049999999999992}",20,9,17.672019537058855,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.0999999999999992}",25,3,0.8568728385794597,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.0949999999999992}",20,13,-0.8480157974844615,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.08999999999999919}",25,14,19.117141261041144,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.08499999999999919}",35,22,19.893555380478887,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.07999999999999918}",25,7,36.04425112339021,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.07499999999999918}",30,7,-17.82060870740542,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 1}",1
186,False,"{'a': 0.5, 'e': 0.06999999999999917}",25,8,26.49191961867773,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.06499999999999917}",30,17,22.978548174301036,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.05999999999999917}",30,14,26.443011312977887,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.054999999999999175}",20,13,13.053771791690188,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.04999999999999918}",25,16,15.105882681304738,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.04499999999999918}",35,20,25.3136833246283,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.5, 'e': 0.03999999999999918}",20,2,18.395175201020095,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
193,False,"{'a': 0.5, 'e': 0.034999999999999185}",30,12,32.70643365888624,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.5, 'e': 0.029999999999999184}",20,10,16.043649620780478,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.5, 'e': 0.024999999999999183}",20,15,10.60963945805725,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.5, 'e': 0.01999999999999918}",25,16,15.956797121872851,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.5, 'e': 0.01499999999999918}",25,20,11.659951109635923,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,3,24.855932561416935,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
